Hi.	Maalɛ.
Try some.	Ɣɔ̱n mi̱ tɔt.
Try this.	Ɣɔ̱n nɛmɛ.
Use this.	Läätni̱ nɛmɛ.
Watch me.	Guic ɣä.
Watch us.	Guic nɛy.
We agree.	Ci̱ nɛy mat.
What for?	Kɛ kui̱ ŋukä?
Who died?	Ɛŋa ci̱ li̱wɔ?
Write me.	Gɔ̱r ɣä.
After you.	Kɔru.
Aim. Fire!	Nirɛ. Yɔ̱tɛ!
Answer me.	Loc ɣä.
Birds fly.	Diit la pärkɛ.
Call home!	Yɔ̱tni̱ cieŋ.
Calm down.	Päli̱ yieyku piny.
Catch him.	Käpɛ.
Come back.	Lunyni̱ jɔk.
Come here.	Bër gua̱th ɛmɛ.
Come home.	Bër cieŋ.
Come soon.	Bër kɛ pɛ̈th.
Cool down.	Kɔ̱cni̱.
Dogs bark.	Jio̱o̱k guää kɛn.
Excuse me.	Guänyni̱ ɣä.
Excuse me?	Deri̱ ɣä guënyi̱?
Follow me.	Guri̱ ɣä.
Follow us.	Guri̱ nɛy.
Forget it.	Bälɛ.
Forget me.	Päli̱ ɣä ruëëc.
Get going.	Mali̱ wee.
Get ready.	Riali rɔ ikä.
Goodnight.	Nini̱ kɛ mal.
Goodnight.	Niɛnɛ kɛ mal.
Grab that.	Käp nɔmɔ.
Grab this.	Käp nɛmɛ.
He shaved.	Cɛ muɔ̱t.
He smiled.	Cɛ duɔɔth doth.
Hold fire.	Ka̱pɛ mäc cuɔ̱ŋ.
I laughed.	Cä to̱k dɔl.
It rained.	Cɛ dɛ̈m.
It stinks.	Ŋuänyɛ.
It's work.	Jɛn lätɛ.
Keep calm.	Päli̱ rɔɔdu piny.
Leave now.	Jiɛni̱ ɛn tämɛ.
Loosen up.	Lony rɔɔdu.
Move over.	Yuth rɔɔdu.
Nice shot!	Ciɛ bär ɛgɔaa!
Of course.	Ɛ puc.
Open fire!	Lɛp mac!
Read this.	Kuɛn nɛmɛ.
Search me.	Go̱rä.
Seize him!	Ka̱pɛ jɛ!
Seriously?	Loti ni jɛ?
Seriously?	Dera Thuɔ̱k ɛ puci̱?
She cried.	Cɛ wiee.
She tried.	Cɛ ɣɔ̱n.
She walks.	La jälɛ.
Sit still.	Nyuri̱ ɛ til.
Sit there.	Nyuri̱ ɛn gua̱a̱th ɛmi̱.
Start now.	Tok ɛ ɛntämɛ.
Stay away.	Teyni̱ nɔ̱nä.
Stay back.	Teyni̱ jɔk.
Stay calm.	Päli̱ rɔdu piny.
Stay down!	Teyni piny!
Stay thin.	Teyni̱ ciw.
Step back.	Kacni̱ jɔk.
Stop here.	Cuŋni̱ ɛn gua̱a̱th ɛmɛ.
Stop that!	Pälɛ!
Stop them.	Käpni̱ kɛ cuɔ̱ŋ.
Take care.	Tit rɔdu.
Take mine.	Naŋ duŋdä.
Take this.	Naŋ nɛmɛ.
Thank you.	Ci̱ lɔcdä tɛɛth.
They fell.	Ci̱ kɛ tɛɛth.
They left.	Ci̱ kɛ jiɛɛn.
They lied.	Ci̱ kɛn kackac.
They lost.	Ci̱ kɛ bath.
They swam.	Cikɛ kɛt.
Tom cried.	Töm cɛ wiee.
Tom drove.	Töm cɛ gɛɛr.
Tom knows.	Töm ŋäcɛ jɛ.
Tom moved.	Töm cɛ ɣöth.
Tom waved.	Töm cɛ mal lar.
Try again.	Ɣɔ̱nɛ ɛnyɔk.
Turn left.	Ri̱tni̱ rɔ caam.
Wait here.	Li̱pni̱ ɛn gua̱a̱th ɛmɛ.
Watch out!	Tit rɔ!
We talked.	Ci̱ nɛy ruac.
We waited.	Ci̱ nɛy liep.
Well done!	Ci̱ lät ɛ gɔaa!
Who knows?	Ŋa ŋäcɛ?
Wonderful!	Gɔaa ɛ lɔ̱ŋ!
You idiot!	Jin thägäräŋ!
You tried.	Ciɛ ɣɔ̱n.
You tried.	ɣɔ̱nɛ.
Ask anyone.	Pekni̱ kɛ ram thiecɛ.
Be careful.	Tit rɔɔdu.
Be patient.	Li̱pni̱ kɛ biɛt.
Choose one.	Kuany kɛl.
Come quick!	Bër kɛ pɛ̈th!
Definitely!	Ɛjɛn pa̱ny!
Eat slowly.	Mi̱thni̱ ɛ määth.
Fire burns.	Mac la waŋɛ naath.
Follow him.	Guriɛ.
Forget him.	Päliɛ ruëëc.
Forgive me.	Päli̱ ɣä ikä.
God exists.	Kuoth tëë thi̱n.
He laughed.	Cɛ to̱kdɔl.
He's lying.	Tëë kac.
Hurry back.	Mal luny jɔk.
Hurry home.	Wër cieŋ kɛ pɛ̈th.
I chuckled.	Cä yuɔr ro̱o̱l.
I have won.	Cä naath läny.
I ran home.	Ɣän cä riŋ cieŋ.
I'm normal.	Thiɛl ɤä diw.
Ignore him.	Dhɔtdɛ.
Jesus wept.	Yecu cɛ wiee.
Just relax.	A lɔ̱ŋni̱ ji̱n.
Keep quiet!	Bitni̱!
Keep quiet.	Bitni̱.
Look there.	Guic gua̱a̱mi̱.
Mama cried.	Ma̱ma̱ cɛ wiee.
Never mind!	/Cu diɛɛr thi̱n.
No comment.	Thiɛlɛ mi̱ bä mat thi̱n.
No problem!	Thiɛlɛ riɛk.
Once again.	Locɛ ɛ nyɔk.
Please sit.	Deri̱ nyuur.
Quiet down.	Bitni̱.
Say cheese.	Ŋɛny lɛcku.
She smiled.	Cɛ duɔthdoth.
Stand back!	Cuŋni̱ jɔk!
Start here.	Tok ɛ ɛn gua̱a̱th ɛmɛ.
Start over.	Tok ɛ nyɔk.
Stay awake.	Teyni̱ jinä.
Stay close.	Teyni̱ thiäkä.
Stay quiet.	Ta̱yɛ bitdä.
Stay quiet.	Teyni̱ bitdä.
Stay there.	Teyni̱ ɛn wi̱ni̱.
Step aside.	Ŋuɛnyni̱ rɔdu gekä.
Stop lying.	Päl kac.
Stop there.	Cuŋni̱ ɛn gua̱a̱th ɛmɔ.
Study hard.	Kueni̱ ɛ bum.
Take cover!	Tɔ̱w rɔɔdu.
Take these.	Naŋ ti̱ti̱.
Taste this.	Met nɛmɛ.
That hurts.	Bɛcɛ.
That works.	La lätɛ ɛn nɔmɔ.
They stood.	Ci̱ kɛ rɔ̱ jiac cuɔ̱ŋ.
They tried.	Ci̱ kɛn ɛ ɣɔ̱n.
This works.	Nɛmɛ la lätɛ.
Tom agreed.	Ci̱ Töm mat kɛ jɛ.
Tom agrees.	Töm la mätɛ kɛ jɛ.
Tom burped.	Töm cɛ jia̱r.
Tom called.	Töm cɛ ciöt.
Tom danced.	Töm cɛ döny.
Tom drinks.	Töm la mäthɛ.
Tom drives.	Töm la gerɛ.
Tom helped.	Töm cɛ luäk.
Tom jumped.	Töm cɛ rɔ yor.
Tom looked.	Töm cɛ guic.
Tom nodded.	Töm cɛ wi̱dɛ tɛŋ.
Tom shaved.	Töm cɛ muɔ̱t.
Tom smiled.	Töm cɛ duɔɔth doth.
Tom snores.	Töm la rua̱tɛ.
Tom waited.	Töm cɛ liep.
Tom yawned.	Töm cɛ ŋaam.
Turn right.	Ri̱tni̱ rɔ cueec.
We are men.	Kɛ kɔn wutni̱.
We laughed.	Ci̱ nɛy to̱kdɔl.
You called?	Ci̱ yɔa̱ti̱?
You decide.	Carɛ ɛ ji̱n.
Anyone home?	Tëkɛ rami̱ te cieŋi̱?
Be yourself.	Teyni̱ kɛ ta̱a̱du.
He resigned.	Cɛ rɔ̱ woc.
Hello again.	Malɛ ɛnyɔk.
How are you?	Mal puɔ̱nydu?
I apologize.	Cä duer lar.
I love dogs.	Nhɔakä Jio̱o̱k.
I overslept.	Cä pek ni̱n.
I overslept.	Cä ni̱ɛn kɛ ni̱än mi̱ di̱i̱t.
Is she nice?	Jɛn gɔaa ɛ?
Keep trying.	Kokniɛ thi̱n.
Money talks.	Ruacni̱ yio̱w.
Nobody came.	Thiɛlɛ rami ci̱ ben.
Nobody died.	Thiɛlɛ rami̱ ci̱ li̱w.
Nobody lied.	Thiɛlɛ rami̱ ci̱ kac kac.
Please sing.	Deri̱ ben kɛt kɛ dit.
Release him.	Lonyɛ.
Remember it.	Timɛ.
Say nothing.	/Cu duɔ̱ɔ̱r lar.
Settle down!	Yiɛthni̱ rɔ piny!
Sleep tight.	Nini̱ gɔaa.
Stand aside.	Cuŋni̱ gekä.
Stand still!	Cuŋni̱ ɛ til.
Start again.	Tok ɛ nyɔk.
Step inside.	Känyni̱ rɛc.
Stop crying.	Päl wiee.
Stop moving!	/Cu jäl!
Stop trying.	Päl wiee.
Stop! Thief!	Cuŋni! Ɛ Cuer!
Tea, please.	Deri̱ ɣä moc ca̱y.
That helped.	Cɛ naath luäk ɛn nɔmɔ.
That worked.	Cɛ lät ɛn nɔmɔ.
They burned.	Ci̱ kɛ waaŋ.
They hugged.	Ci̱ kɛ rɔ̱ kuak.
They kissed.	Ci̱kɛ rɔ̱ cim.
They obeyed.	Ci̱ kɛn ɛ luɔ̱th.
They smiled.	Ci̱ kɛ duɔɔth doth.
They waited.	Ci̱ kɛ liep.
They walked.	Ci̱ kɛ ja̱l.
They yelled.	Ci̱ kɛ rual.
This stinks.	Nɛmɛ la ŋuänyɛ.
Tom blinked.	Töm ci̱ wäŋkɛ we niɛw.
Tom clapped.	Töm cɛ tetkɛ pat.
Tom coughed.	Töm cɛ kiɛl.
Tom drowned.	Töm cɛ di̱ŋ.
Tom escaped.	Töm cɛ rɔ kual.
Tom kneeled.	Töm cɛ mua̱kɛ yiath piny.
Tom laughed.	Töm cɛ to̱kdɔl.
Turn around.	Ri̱t rɔ.
Walk slowly.	Jäli̱ ɛmääth.
We need you.	Go̱o̱r nɛy ji̱.
We promised.	Ci̱ nɛy rɔ yac.
We remember.	La tim nɛyɛ.
We survived!	Ci̱ nɛy kään!
What's good?	Ɛŋu gɔa ɔ?
Who took it?	Ɛ ŋa naŋ jɛ mɔ ?
Wood floats.	Jiɛn ti̱ ko̱o̱t la thɔaarkɛ.
Work slowly.	Lätni̱ ɛmääth.
Abandon ship!	Ba̱nyɛ babuur piny.
Anybody here?	Tëkɛ rami te ɛn gua̱a̱th ɛmɛ?
Anybody home?	Tëkɛ rami̱ te cieŋi̱?
Anybody hurt?	Tëkɛ rami̱ ca moc buɔ̱t?
Anything new?	Tëkɛ mi̱ ci̱ rɔ gɛr?
Come outside.	Bër raar.
Come quickly.	Bër kɛ pɛ̈th.
Did you sign?	Ji̱ ci̱ thaany?
Drive safely.	Geri̱ ɛ gɔaa.
Drive slowly.	Geri̱ ɛmääth.
Fear nothing.	/Cu dual kɛ duɔ̱ɔ̱r.
Good evening.	Malɛ kɛ thiaŋ.
Hello, girls.	Malɛ, nyiti̱.
How annoying!	Ɛŋu cɛ ɣä cuil inɛ!
How horrible!	Ɛmi̱ jiääk mi̱ te idi!
How romantic!	Kä ɛ nhök mi̱ gɔaa mi̱ te i̱di̱!
I understand.	Cɛ wä lɔɔcdä.
I understood.	Cä liŋ.
I've done it.	Cä thuk.
Keep reading.	Wër kɛ kuën.
Ladies first.	Män kɛ nhiam.
Move quietly.	Ja̱li̱ bitdä.
Nobody asked.	Thiɛlɛ rami̱ ci thiec.
Nobody knows.	Thiɛlɛ ram ŋäcɛ.
Please hurry!	Deri̱ pɛ̈th!
Please leave.	Deri̱ Jiɛni̱, la̱ŋä ni̱ ji̱.
Please smile.	Mäni̱ duɔɔth doth bɛ.
Recess ended.	Ci̱ lua̱ŋ thuɔ̱k.
Someone came.	Tëkɛ rami̱ ci̱ ben.
Step forward.	Bër nhiam.
Stop arguing.	Päl ŋaknɔm.
Stop filming.	Päl thuɔ̱r.
Stop gawking.	Päl guecdä ɛ ɛlɔ̱ŋ i̱nɔ.
Stop pushing.	Päl ɣökdɛ.
Stop reading.	Päl kuën.
Stop smoking.	Päl ma̱th tapä.
Stop staring.	Päl guec.
Stop talking.	Päl ruac.
Stop whining.	Päl ŋiɛyŋiɛy.
Stop yelling.	Päl yuaal.
They escaped.	Ci̱ kɛ rɔ̱ kual.
They laughed.	Ci̱ kɛ to̱kdɔl.
They refused.	Ci̱ kɛn ɛ lo̱k.
They stopped.	Ci̱ kɛ cuɔ̱ŋ.
They sweated.	Ci̱ leth kɛ näk.
Things break.	La tiɛ̈th ŋuak.
Tom answered.	Ci̱ Töm ɛ loc.
Tom approved.	Töm cɛ nhɔk.
Tom insisted.	Töm cɛ lo̱k.
Tom listened.	Töm cɛ liɛŋ.
We apologize.	Ci̱ nɛy duer.
We hated Tom.	Ci̱ nɛy Töm lo̱k.
We know them.	Kɔn ŋäc nɛy kɛ.
We need glue.	go̱r kɔn do̱o̱p.
We overslept.	Ci̱ nɛy pek ni̱n.
We succeeded.	Ci̱ kɔnɛ luäŋ.
Welcome back.	Lunyni̱ jɔk kɛ mal.
Welcome home.	Bër cieŋ kɛ mal.
Welcome home.	Bia cieŋ kɛ mal.
Years passed.	Ci̱ run wä.
You know her.	Ji̲n ŋäc ci̲ jɛ.
You're lying.	Jɛn ɛ gua̱n kac kä.
Anything else?	Tëkɛ mi̱ dɔ̱ŋ?
Call security!	Cɔl ga̱a̱ŋ!
Do we need it?	Dee kɔnɛ go̲r ?
Eat something.	Cam duɔ̱ɔ̱r.
Everyone dies.	Nɛy diaal li̱wkɛ.
Flowers bloom.	Gaakni̱ la lɛpkɛ rɔ̱.
Help yourself.	Luäk rɔɔdu.
How beautiful!	Ɛmi̱ gɔaa ɛ idi!
I trusted him.	ɤän ŋa̲thä jɛ
Only Tom left.	Ɛ Töm tëë caam.
Quiet, please.	Metni̱ biɛt.
Save yourself.	Kän rɔɔdu.
Say something.	Lar duɔ̱ɔ̱r.
She overslept.	Cɛ pekni̱n.
Show yourself.	Nyoth rɔɔdu.
Speak clearly.	Ruacni̱ ɛ jɔc.
Start running.	Tok wuɔ̱ɔ̱r.
Start singing.	Tok kët.
Start writing.	Tok gua̱r.
Stay positive.	Cari̱ mi̱ gɔaa.
Stay together.	Ta̱yɛ kɛɛl.
Stop fighting!	Päl ko̱r!
Stop laughing.	Päl to̱k.
Stop shooting.	Päl ba̱a̱r.
Stop worrying.	Päl diɛɛr.
Stuff happens.	La ŋɔak ɛ tuɔɔk.
Suit yourself.	Luäk rɔ.
Thanks anyway.	Ci̱ lɔcdä tɛɛth bä.
They heard it.	Ci̱ kɛnɛ li̱ɛŋ.
They screamed.	Ci̱ kɛ wa̱k.
They vanished.	Ci̱ kɛ riaw.
They're drunk.	,Ci̲ kɛn yɔ̲ŋ.
Things change.	La gɛr ŋuak rɔ̱diɛn.
Tom confessed.	Töm cɛ duerɛ lat.
Tom had a job.	Töm tëkɛ la̱t.
Tom is driven.	Töm laa gëërɛ.
Tom overslept.	Cɛ pek ni̱n ɛn Töm.
We understand.	Ci̱ wä lɔɔcda.
What happened?	Ɛŋu ci̱ tuɔk ɔ?
Will Tom come?	Bi̲ Töm cop ?
Does Tom dance?	Töm laa do̱nyɛ?
Eat everything.	Cam ti̱ diaal.
Eat everything.	Camɛ ti̱ diaal.
Everybody lies.	Nɛy diaal la kɛn kac ɛ kac.
Good afternoon.	Malɛ kɛ cäŋdäär.
Happy birthday!	Tɛ̈thlɔac mi̱ gɔaa kɛ cäŋdäpä!
He disappeared.	Cɛ riaw.
Hello everyone!	Mal kɔni̱!
I have nothing.	Thiɛlɛ mi̱ tee kɛ Ɣä.
I said stop it!	Cä lar i̱ pälɛ!
Keep listening.	Ŋotni̱ kɛ mi̱ li̱ŋni̱.
Louder, please.	Mäni̱ jɔwdu kap nhial bɛ.
She's not sick.	Thiɛlɛ jɛ juëëy.
Smoke appeared.	Ci̱ tol jɔɔc.
Smoking stinks.	Ma̱th tapä ŋuenyɛ.
Someone called.	Tëkɛ rami̱ ci̱ yɔ̱a̱t.
Start counting.	Tok kuën.
Stop resisting!	Päl kuäär!
Tell everybody.	Läriɛ nɛydiaal.
They quarreled.	Ci̱kɛ gua̱c.
They want more.	Go̱o̱r kɛn ti̱ ŋuaan.
Things changed.	Ci̱ ŋuak rɔ̱ gɛr.
Tom apologized.	Töm cɛ duer lar.
Watch yourself.	Guic rɔɔdu.
We trusted Tom.	Töm ŋäth nɛyɛ.
We volunteered.	Ci̱ nɛy luäk thöp ɛ thiɛl kök.
Behave yourself.	Luthni̱ rɔɔdu.
Congratulations!	Ci̱ lät agɔaa!
Did you drop it?	Ci̱ jɛ pa̱l ruëëc ?
Do you know CPR?	Ji̱n ŋäci̱ CPR?
Drive carefully.	Geri̱ kɛ tiit.
Everyone dreams.	Nɛy diaal la kɛn la̱a̱k ɛ läk ikä.
Everyone smiled.	Ci̱ nɛy diaal duɔɔthdoth.
Everyone waited.	Ci̱ nɛy diaal liep.
He's my brother.	Jɛn ɛ dämaar.
He's very timid.	Jɛn po̱cɛ ɛlɔ̱ŋ.
How interesting!	Ɛmi̱ gɔaa mi̱ i̱di̱ ɛn nɛmɛ!
I turned Tom in.	Töm bi̱ la̱th rɛc.
Let me be happy.	Jakni̱ lɔcdä kä tɛɛth.
Let's finish up.	Canɛ jɛ thuk.
Let's finish up.	Canɛ thuk.
Look after them.	Guic kɛ.
My door is open.	Thi̱i̱kdä tee ɣo̱o̱ŋkä.
My hair is gray.	Ci̱ mi̱äm kä low.
My kids love me.	Gaatkä nhɔk kɛn ɤä.
Oh, don't worry.	Wɔ̲a̲w ,cudiɛɛr
Please continue.	Deri̱ we kɛ wä.
She disappeared.	Cɛ riaw.
Somebody called.	Tëkɛ rami̱ ci̱ ciöt.
Someone coughed.	Tëkɛ rami̱ ci̱ kiɛl.
Take everything.	Naŋ ti̱ diaal.
They understood.	Ci̱ kɛn ɛ liŋ.
Tom disappeared.	Töm cɛ bath.
Tom is a tailor.	Töm ɛ ko̱o̱c biäyni
Tom volunteered.	Töm cɛ luäk thöp ɛ thiɛl kök.
Tom was too fat.	Töm cɛ kɔn dho̱k.
Watch carefully.	Gui̱c ni̱ gɔaa.
We all love you.	Kɔn dial nhɔk nɛy yiɛɛ.
We heard voices.	Ca̱kɔ jiööth liŋ
Write something.	Gɔ̱r duɔ̱ɔ̱r.
Accidents happen.	Guäcni̱ la tuɔɔkɛ.
Are you busy now?	Ti̱i̱kɛ mi lätdi ɛntämɛ?
Choose carefully.	Mekni̱ ɛ gɔaa.
Come immediately.	Ŋali̱ ben ɛn tämɛ.
Do you work here?	Ji̱ läti̱ ɛn gua̱a̱th ɛmɛ?
Everyone changes.	La nɛy diaal rɔ̱ɔ̱diɛn ɛ gɛɛr.
Everyone cheered.	Ci̱ nɛy diaal tetkiɛn pat.
Everyone laughed.	Ci nɛy diaal to̱kdɔl.
Everyone noticed.	Ci̱ nɛy diaal ɛ ŋa̱c.
He saved my life.	jɛn cɛ ɣä kän.
I appreciated it.	Ci lɔcdä tɛɛth.
I hope Tom knows.	Ɣän ŋa̱thä jɛ ɛn ɣöö ŋäc Töm ɛ.
I love this area.	ɤän nhɔakä gua̲a̲th ɛmɛ.
Listen carefully.	Liŋni̱ agɔaa.
Nobody will come.	̈Thiɛlɛ/ram mi̲ ben.
Nothing happened.	Thiɛlɛ mi̱ ci̱ tuɔɔk.
Prepare yourself.	Riali̱ rɔɔdu ikä.
Respect yourself.	Luthni̱ rɔɔdu.
She died from TB.	Jɛn ci̱Ti̱bii ɛ näk.
Sit here with us.	Nyuri̱ kɛ nɛy kɛɛl gua̱th ɛmɛ.
Somebody laughed.	Tëkɛ rami̱ ci̱ to̱kdɔl.
Someone screamed.	tëkɛ rami̱ ci̱ wak.
Stop apologizing.	Päl lär dui̱rä.
The man ran away.	Ɛn wut cɛ rɔ bar.
This is our plan.	Nɛmɛ ɛ ca̲p da.
Tom was troubled.	Töm nyoonɛ nath.
Watch yourselves.	Guɛcɛ rɔ̱ɔ̱dun.
We don't want it.	Kɔn /ci nɛy ɛ go̱r.
We just did that.	Ci̱ëë ci̱ nɛy ɛ la̱r ji̱.
We like children.	Nhɔk nɛy dho̱li̱.
We need supplies.	Kɔn go̱r nɛy luäk kuakni̱.
We're architects.	Kɛ kɔn ta̱th duëëli̱.
You know nothing.	Thiɛlɛ mi ŋäci.
You must go back.	Ji̱n dëri̱ loc jɔk.
Deal us the cards.	Bi̱ Töm ji̱ luäk.
Deal us the cards.	Lep ni nɛy katni̱.
Everybody laughed.	Ci̱ nɛy diaal to̱k dɔl.
Everyone screamed.	Nɛy diaal ci̱kɛ wa̱k.
Exercise outdoors.	Wër ŋari raar.
Goodnight, Mother.	Nini̱ kɛ mal ma̱ma̱.
Happy anniversary!	Tɛ̈thlɔac kɛ tiem duɔ̱ɔ̱rä.
How do I stop Tom?	Ɣän bä Töm ka̱p cuɔ̱ŋ i̱ di̱ ?
I do love flowers.	Ɣän nhɔakä gaakni̱ jiɛn.
I don't feel good.	Ɣän thi̱ɛlɛ ɣä tɛ̈thlɔaac mi̱ gɔaa.
I have an earache.	Ɣän ta̱a̱ kɛ bɛ̈ɛ̈c ji̱äth.
I like the colors.	ɤän nhɔakä biɛlɛ.
I like this music.	ɤän nhɔkä bul ɛmɛ.
I often work late.	La la̲tä kɛ jɔak guäthni̲ di̲aal
I'm just visiting.	Duŋdä guel.
It's all gone now.	Bi̱ kɛn diaal thuɔ̱k.
It's no big thing.	/Thiɛlɛ mi̲ di̲i̲tia̲ thi̲n.
Love isn't enough.	Nhök /cɛ rɔ̱ŋ.
My cat loves milk.	Nyawdä nhɔkɛ cak.
Please reconsider.	Deriɛ met nyɔk kɛ guec.
Somebody answered.	Tëkɛ rami̱ ci̱ luɔ̱c.
Something changed.	Tëkɛ mi̱ ci̱ rɔ gɛr.
That's not my car.	Ci̱ɛ jɛn thurbi̱lä.
This beef is good.	Ri̲ŋ ɛmɛ gɔa ɛ
Tom has no answer.	Töm thiɛlɛ mi̲ cɛ loc.
Tom loved bananas.	Töm nhɔkɛ bëlɛɛni
Tom was born here.	Töm dapkɛ jɛ ɛn wänɛ.
Tom was born here.	Töm dap jɛ gua̱mɛ.
We can't talk now.	/canɛ bi lat ɛntämɛ.
We'll go tell Tom.	Bi̱ nɛy ɛ la̱r Töm.
What are we doing?	Ji̱ ɛ ŋu läti̱ mɔ ?
What did Tom want?	Töm go̱rɛ ni̱ ŋu mɛn dan?
You're a good man.	Ɛ ji̱n wut mi̱ gɛaa
You're dead wrong.	Ci̱ duer ɛlɔ̱ŋ.
All sugar is sweet.	,THok kër kɛliw limɛɛ.
Do you like ginger?	Nhɔki̱ daŋdalɛ?
Does Tom drink tea?	Ɛn Töm la mäthɛ kɛ cäy?
Everything matters.	Ti̱ diaal te kɛn kɛ luɔt.
Happy Thanksgiving!	Cäŋ tɛthkä lɔaac mi̱ gɔaa!
I didn't know that.	ɤän cän jɛ ŋäc.
I have to meet Tom.	Ɣan go̱o̱rä bä jek kɛ Töm.
I loved that house.	Ɣän nhɔakä duel ɛmɔ.
I think Tom is bad.	Di̱ɛwä jɛ Töm ji̱ääkɛ.
I want Tom to help.	Ɣän göörä Töm bɛ luäk.
I want Tom to help.	Go̱o̱rä ɣöö bi̱ Töm ɣä luäk.
I wanted red shoes.	Göörä war mi̱ dɛ̈ɛ̈r.
I was only kidding.	Ɣän duŋdä muɔŋ.
Isn't that our job?	Nɔmɔ /CIA la̲tdun?
Return immediately.	Lunyni̱ jɔk kɛ pɛ̈th.
Something happened.	Tëkɛ mi̱ ci̱ tuɔɔk.
