Who?	چه کسی؟
I use Firefox.	من از برنامه ی فایرفاکس استفاده می کنم.
I'm a tourist.	من توریستم.
I'm so lonely.	خیلی تنهایَم.
She was brave.	او شجاع بود.
Speak clearly.	روشن حرف بزن.
Time is money.	وقت گرانبهاست.
Tom came back.	تام برگشت.
Tom was brave.	تام شجاع بود.
You're joking!	شوخی می‌کنید.
Close the door.	در را ببند.
Don't watch TV.	تلوزیون را تماشا نکن.
Happy New Year!	سال نو مبارک.
He came by car.	او با ماشین آمد.
He flew a kite.	او یک بادبادک هوا کرد.
He flew a kite.	او یک کاغذک هوا کرد.
He seems tired.	او خسته به نظر می رسد.
He worked hard.	خیلی سخت کار می کرد.
I hate working.	من از کار کردن متنفرم.
I hate zealots.	من از متعصبین متنفرم.
I have nothing.	من چیزی ندارم.
I trusted them.	من به آنها اعتماد کردم.
I'll treat you.	من از تو مراقبت خواهم کرد..
I'm an atheist.	من خداناباور هستم.
I'm used to it.	به آن عادت کرده‌ام.
I'm used to it.	بهش عادت دارم.
It was so dark.	هوا خیلی تاریک بود.
It's a hot day.	امروز هوا گرم است.
It's rush hour.	الان ساعت شلوغیه.
Leave it alone.	ولش کن!
Let's watch TV.	بیا تلویزیون ببینیم.
Louder, please.	بلندتر، لطفا.
May I help you?	آیا می‌توانم تو را کمک کنم.
Stop gossiping.	خبرچینی را بس کن.
They quarreled.	آنها جر و بحث کردند.
They're adults.	آنها بزرگسال هستند.
Tom came alone.	تام تنها آمد.
We're not safe.	ما در امنیت نیستیم.
Well, let's go.	خیلی خوب بیا بریم.
Where is Paris?	پاریس کجاست؟
Who's confused?	کیست که نفهمید؟
You're welcome.	خواهش میکنم
You're welcome.	قابلی نداره.
Act like adults.	مانند بزرگسالان رفتار کن.
Cats catch mice.	گربه ها موش ها را می گیرند.
Congratulations!	ماشاءا..، ای والله، خیلی عالی!
He lied readily.	او به آسانی دروغ گفت.
He stared at me.	او از من شروع کرد.
He walks slowly.	او به آرامی راه می رود.
Hi. How are you?	سلام، حالت چه طوره؟
I hate fighting.	من از جدال متنفّرم.
I hear the drum.	صدای طبل را می شنوم.
I hope Tom wins.	امیدوارم تام برنده شود.
I love you, too.	منم دوسِت دارم. مَنَم عاشِقِتم.
I prefer coffee.	قهوه را ترجیح می‌دهم.
I run every day.	من هر روز می دوم.
I was surprised.	من جا خوردم.
I'm a shoemaker.	من موزه دوز هستم.
I'm an engineer.	من مهندس هستم.
I'm begging you.	از شما التماس می کنم.
I'm going to go.	می خواهم بروم.
Is it important?	آیا مهم است؟
Is the end near?	آیا پایان نزدیک است؟
Is this a dream?	آیا این یک رؤیاست؟
Is this a dream?	آیا این یک خیالست؟
Keep the change.	بقیه پول مال خودت!
Let's go by bus.	بگذار با اتوبوس برویم.
Life's not easy.	زندگی آسان نیست.
Shut your mouth.	کپت را ببند.
So far, so good.	بسیار دور بسیار خوب است.
The car is blue.	ماشین آبی‌رنگ است.
The car is blue.	ماشینه آبیه.
The sea is calm.	دریا آرام است.
The sea is calm.	دریا آرومه.
The truth hurts.	حقیقت تلخ است.
Tom looks happy.	تام خوشحال به نظر می‌رسد.
Turn off the TV.	تلویزیون را خاموش کن.
Walls have ears.	دیوار موش دارد.
We must find it.	باید پیدایش کنیم.
We've found Tom.	ما تام را پیدا کردیم.
What time is it?	ساعت چند است.
What's the time?	ساعت چند است.
You look sleepy.	تو خواب آلود به نظر می رسی.
You're gullible.	تو ساده‌دلی.
You're gullible.	تو ساده‌دل هستی.
You're gullible.	تو زودباوری.
You're gullible.	تو زودباور هستی.
You're gullible.	شما ساده‌دل هستید.
You're gullible.	شما زودباور هستید.
Are these edible?	آیا اینها قابل خوردن هستند؟
Are you a singer?	شما یک خواننده هستید؟
Are you teachers?	شماها معلمید؟
Are you teachers?	آیا شما آموزگار هستید؟
Can you prove it?	آیا می‌توانی آن را اثبات کنی؟
Come sit with us.	بیا با ما بنشین.
Don't be foolish.	احمق نباش!
Don't make me go.	منو مجبور به رفتن نکن.
Don't provoke me.	من را تحریک نکن.
Fight like a man.	مانند یک مرد بجنگ.
Have a good time.	اوقات خوبی داشته باشید.
He fascinated me.	من مجذوب او شده بودم.
He is a beginner.	او تازه کار است.
He saved my life.	او زندگی مرا نجات داد.
He threw his toy.	او اسباب بازیش را پرت کرد.
Health is wealth.	سلامتی نعمت است.
Here is your key.	بفرمایین اینم کلیدتون.
I agree with him.	با او موافقم.
I am still alone.	همچنان تنهایم.
I can't die here.	نمی توانم اینجا بمیرم.
I don't know him.	من او را نمی شناسم.
I don't think so.	من اینطور فکر نمی کنم.
I like chocolate.	من شکلات دوست دارم.
I like to travel.	دوست دارم مسافرت کنم
I missed the bus.	من اتوبوس را از دست دادم.
I never hurt Tom.	من هیچوقت تام رو اذیت نکردم.
I said I'm sorry.	من گفتم که متاسفم.
I see the target.	هدف را میبینم.
I still love you.	من هنوز دوسِت دارم. هنوزعاشِقِتم.
Is the bank open?	آیا بانک باز است؟
It is time to go.	موقع رفتن است.
It was excessive.	افراط بود.
It was excessive.	زیاده روی بود.
It's a sunny day.	امروز روزی آفتابی است.
It's conceivable.	این قابل تصوره.
Listen carefully.	به دقت گوش کن.
No pain, no gain.	نا برده رنج گنج میسر نمی‌شود.
No place is safe.	هیچ مکانی امن نیست.
Please let me go.	لطفا به من اجازه بده بروم.
Please stay safe.	لطفاً در امان بمانید.
They hurried off.	آنها شتافتند.
They live nearby.	آنها همین نزدیکی ها زندگی می کنند.
This book is old.	این کتاب قدیمی است.
This disturbs me.	این مرا آشفته می‌کند.
Tom drank coffee.	تام قهوه نوشید.
Tom drank coffee.	تام قهوه خورد.
Tom hurt himself.	تام به خودش آسیب می زند.
Tom is a fanatic.	تام یک افراطی است.
We must find Tom.	باید تام را پیدا کنیم.
What a nice idea!	چه ایده خوبی!
What's the cause?	علت چیست؟
What's the cause?	سبب چیست؟
Where are we now?	ما اکنون کجا هستیم؟
You already paid.	شما قبلاً مزد گرفتید.
You did it again.	تو این کار را دوباره انجام دادی.
You did it again.	شما آن را دوباره انجام دادید.
You're impatient.	شما بی‌صبر هستید.
You're impatient.	شما نابردبار هستید.
You're organized.	شما مرتب هستید.
Add a little milk.	کمی شیر اضافه کن.
Don't tell anyone.	به همه نگو.
Haste makes waste.	عجله کار شیطان است.
He began to shout.	او شروع به فریاد کشیدن کرد.
He came to see me.	او آمد مرا ببیند.
He came to see me.	وی آمد تا من را ببیند.
He turned traitor.	او خیانتکار شد.
Hold the elevator.	آسانسور را نگه دار.
Hold the elevator.	آسانسور را نگه دارید.
How was your test?	امتحانت، چطور بود؟
I agreed with her.	من با او موافقم.
I bathe every day.	من هر روز حمام می کنم.
I forgot his name.	نام او را فراموش کردم.
I have a headache.	من سردرد دارم.
I hit the jackpot.	من پول زیادی برنده شدم.
I need assistance.	من به دستگیری نیازمندم.
I need assistance.	من به دستگیری نیاز دارم.
I owe you my life.	من زندگیم را به شما مدیون هستم.
I really like red.	من واقعاً سرخ را می‌پسندم.
I really like red.	من واقعاً قرمز را دوست دارم.
I sat by his side.	من کنار او نشستم.
I saw an airplane.	من یک هواپیما دیدم.
I study at school.	من در مدرسه تحصیل می کنم.
I'm bad at sports.	من در ورزش کارکشته نیستم.
I'm not a student.	من دانشجو نیستم.
I'm not a student.	دانش‌آموز نیستم.
I've got blisters.	من تاول زدم.
Insure it, please.	این را بیمه کن،لطفا.
It's a tiring job.	کار خسته کننده ای است.
Life is beautiful.	زندگی زیباست.
May God bless you.	خدا به تو برکت بدهد.
May God bless you.	خدا عمرت بده!
Nobody is perfect.	هیچکس کامل نیست.
Once more, please.	یکی دیگه، لطفا. یه بار دیگه، خواهشن.
Peaches are sweet.	هلو ها شیرین هستند.
She drives me mad.	او مرا دیوانه می کند.
She fascinated me.	من مجذوب او شده بودم.
She made me hurry.	او مرا شتابزده کرد.
She married young.	او در سن پایین ازدواج کرد.
She shut the door.	او در را بست.
Speak more slowly.	شمرده‌تر صحبت کنید.
Tell me the truth.	به من حقیقت را بگو.
That's impossible.	آن ممکن نیست.
The doorbell rang.	زنگ در به صدا درآمد.
The food is ready.	غذا حاضر است.
The water is good.	این آب با کیفیت است.
This book is mine.	این کتاب مال من است.
Tom is fastidious.	تام ایرادگیر است.
Tom scored a goal.	تام گل زد.
Tom was terrified.	تام وحشت‌زده بود.
We dance together.	ما با یکدیگر می رقصیم.
We must find them.	باید پیدایشان کنیم.
We were impatient.	ما عجول بودیم.
We're all mothers.	ما همه مادر هستیم.
What is the truth?	حقیقت چیست؟
What is your name?	اسم شما چیست؟
When was she born?	او کی متولد شده است؟
Where did they go?	آنها به کجا رفتند؟
Where is the bank?	بانک کجاست؟
Where've you been?	کجا بوده‌اید؟
Who made the doll?	چه کسی عروسک را درست کرده است؟
Why are you lying?	چرا دروغ میگی؟
You are beautiful.	تو زیبا هستی.
You are beautiful.	تو قشنگی.
You're both liars.	شما هر دو دروغگو هستید.
You're reasonable.	شما قابل قبول هستید.
Your time is over.	وقت شما تمام شد.
Always be cautious.	همیشه احتیاط کن.
Are these for sell?	آیا اینها برای فروش هستند؟
Are you vegetarian?	آیا گیاه‌خوار هستید؟
Bananas are yellow.	موز زرد است.
Can I see this one?	می تونم این یکی رو ببینم؟
Can I take a break?	می توانم استراحت کنم؟
Can I use your pen?	آیا می‌توانم از خودکارت استفاده کنم؟
Come along with us.	بیا با ما برویم.
Come along with us.	بیا با ما.
Don't get me wrong.	درباره من اشتباه برداشت نکن.
Don't get me wrong.	درمورد من فکر بد نکن.
He closed the door.	او در را بست.
How's married life?	زندگی متاهلی چطور است؟
I didn't forget it.	من آن را فراموش نکردم.
I didn't notice it.	بهش توجه نکردم.
I didn't notice it.	آن را ملاحظه نکردم.
I don't have a dog.	من سگ ندارم.
I don't understand.	من نمی فهمم.
I got my shoes wet.	کفش‌هایم را خیس کردم.
I have my own room.	من اتاق مختص خود دارم.
I jog twice a week.	من هفته ای دو بار پیاده روی می کنم.
I know your father.	من پدرت را می شناسم.
I need your advice.	من به مشوت شما احتیاج دارم.
I still want to go.	من هنوز می‌خواهم بروم.
I want to buy that.	می خواهم آن را بخرم.
I was born in 1972.	من در سال 1972 به دنیا آمده ام.
I've already tried.	قبلاً سعی کرده‌ام.
Ignorance is bliss.	جهل یک برکت است.
Is Tom left-handed?	آیا تام چپ دست است؟
Is everybody ready?	آیا همه آماده‌اند؟
Is something wrong?	مشکلی هست؟
Isn't it delicious?	خوشمزه نیست؟
It was really good.	واقعا خوب بود.
It wasn't my fault.	تقصیر من نبود.
Knowledge is power.	توانا بُوَد هر که دانا بُوَد.
May I speak to Tom?	می توانم با تام صحبت کنم؟
May I use this bat?	می‌توانم از این چوگان استفاده کنم؟
Real men drink tea.	مردان واقعی چای می‌نوشند.
Save your strength.	قدرتت را حفظ کن.
She has seven sons.	او هفت پسر دارد.
She has small feet.	او پاهای کوچکی دارد.
Slander is a crime.	تهمت یک جرم است.
Take out the trash.	.آشغال ها رو بیرون بگذار
That won't help me.	این به من کُمَکی نخواهد کرد.
That won't help me.	این کُمکَم نخواهد کرد.
That's appropriate.	آن مناسب است.
The baby is crying.	بچه گریه می کند.
The car was stolen.	ماشین سرقت شد.
The feud continues.	دعوا ادامه دارد.
The night was cold.	شب سرد بود.
The stars came out.	ستاره ها بیرون آمدند.
There is no choice.	انتخابی وجود ندارد.
These pens are his.	این خودکارها مال او(پسر) هستند.
Tie your shoelaces.	بند کفش ات را ببند.
Tom became serious.	تام جدی شد.
Tom has three dogs.	تام سه سگ دارد.
Tom is a real nerd.	تام یک خرخوان واقعی است.
Tom is a silly man.	تام مرد احمقی است.
Tom is belligerent.	تام ستیزه جو است.
Tom is on the ball.	تام حواسش جمع هست.
Tomorrow is Sunday.	فردا یکشنبه است.
We don't like rain.	ما باران را دوست نداریم.
We don't like rain.	ما از باران خوشمان نمی آید.
What vile behavior!	چه رفتار زشتی
Where did I put it?	من آن را کجا گذاشتم؟
Where did I put it?	آن را کجا قرار دادم؟
Where is her house?	خانه اش کجاست؟
Where is your room?	اتاقت کجاست؟
Where was Tom born?	تام کجا به دنیا آمده است؟
Which bag is yours?	کدام کیف مال تو است؟
Who's your teacher?	معلم شما کیست؟
Whose book is this?	این کتاب مال چه کسی است؟
Whose book is this?	این کتاب مال کیه؟
Whose book is this?	این کتاب مال چه کسیه؟
Whose book is this?	این کتاب کیه؟
Will he ever do it?	آیا هرگز او آن را انجام خواهد داد؟
You only live once.	تو فقط یکبار زندگی می کنی.
You're belligerent.	شما مخاصمه طلب هستید.
Answer the question.	به این سؤال پاسخ بده.
Do you want a drink?	آیا نوشیدنی می خواهی؟
Don't listen to her.	به حرفش گوش نکن.
Everyone's laughing.	همه می‌خندند.
Go jump in the lake.	برو بپر تو دریاچه.
Have you gone crazy?	دیوانه شده ای؟
He is a good singer.	او آوازه خوان خوبی است.
He often comes late.	او اغلب دیر می‌آید.
He reached his goal.	او به هدفش رسید.
He was very patient.	او خیلی صبور بود.
He was working hard.	او به‌شدت کار می‌کرد.
He's afraid of dogs.	او از سگ ها می ترسد.
Hold the rope tight.	طناب را سفت نگهدار.
Hold your questions.	پرسش‌هایتان را نگه دارید.
Hold your questions.	پرسش‌هایت را نگه دار.
Hold your questions.	سؤال‌هایتان را نگه دارید.
Hold your questions.	سؤال‌هایت را نگه دار.
I am afraid of dogs.	من از سگ‌ها می‌ترسم.
I disagree with you.	من با تو مخالفم.
I don't like school.	من مدرسه را دوست ندارم.
I don't sleep a lot.	من زیاد نمی خوابم.
I forgot to ask him.	فراموش کردم از او بپرسم.
I have a beer belly.	من شکمِ آبجویی دارم.
I have a beer belly.	شکمِ آبجویی دارم.
I love strawberries.	عاشق توت‌فرنگی‌ام.
I never trusted Tom.	من هیچ گاه به تام اعتمادی نکردم.
I think he is right.	من فکر می کنم که او درست می گوید.
I'll make you happy.	من تو را خوشبخت می کنم.
I'm as old as he is.	من به اندازه ی اون پیر(بزرگ) هستم.
I'm dying of hunger.	من دارم از گرسنگی می‌میرم.
It's free of charge.	مجانی است.
Keep going straight.	مستقیم برو.
Lead is easily bent.	سرب به راحتی خم می شود.
Mary can dance well.	ماری می تواند خوب برقصد.
My throat feels dry.	گلویم خشک شده است.
My wife is a doctor.	همسر من دکتر است.
Nobody's infallible.	هیچکس معصوم نیست.
Old habits die hard.	ترک عادت موجب مرض است.
One problem remains.	یک مشکل باقی می ماند.
Please explain that.	لطفاً آن را توضیح دهید.
Put on your pajamas.	پیژامه ات را بپوش.
Put your pajamas on.	پیژامه ات را بپوش.
Seeing is believing.	شنیدن کی بُوَد مانند دیدن.
She still loved him.	هنوز او را دوست داشت.
That's an old trick.	آن یک ترفند قدیمی است.
That's common sense.	این از بدیهیات است.
The bus door opened.	درب اتوبوس باز شد.
The cat drinks milk.	گربه شیر می‌نوشد.
The effort paid off.	کوشش ثمر داد.
The man was in rags.	مرد ژنده پوش بود.
The wind is blowing.	باد می وزد.
They are in the way.	آنها در راهند.
They're mocking you.	آنها تو را مسخره می کنند.
They're moving away.	آنها دارند اسباب کشی می کنند.
This is a gold mine.	این یک کان زر است.
This is a gold mine.	این یک معدن طلاست..
This is their house.	این خانه آنهاست.
Time passes quickly.	زمان سریع می گذرد.
Tom drives too fast.	تام خیلی تند می‌راند.
Tom drives too fast.	تام زیادی تند می‌راند.
Tom went home alone.	تام تنها به خانه رفت.
We season with salt.	ما با چاشنی نمک طعم می دهیم.
We were born to die.	ما زاده شدیم تا بمیریم.
What happened today?	امروز چه پیش آمد؟
What's the bus fare?	کرایه‌ی اتوبوس چقدر است؟
When will you leave?	کی خواهی رفت؟
When will you leave?	کی خواهید رفت؟
When will you leave?	کی ترک خواهید کرد؟
When will you leave?	کی ترک خواهی کرد؟
When will you leave?	کی می‌روی؟
When will you leave?	کی می‌روید؟
Where are you going?	کجا می روی؟
Why is Tom not here?	چرا تام این جا نیست؟
You are a good cook.	شما آشپز خوبی هستید.
You are such a liar!	چه دروغگویی هستی!
You're running late.	داری دیر می کنی.
Your knife is rusty.	چاقوی شما زنگ زده است.
A scorpion stung Tom.	یک عقرب تام را گزید.
Are you free tonight?	امشب وقتت آزاد است؟
Business is business.	حساب حساب کاکا برادر.
Closing is an option.	بستن یک گزینه است.
Dead dogs don't bite.	سگهای مرده گاز نمی گیرند.
Did you buy cat food?	آیا غذای گربه خریدی؟
Did you speak to Tom?	آیا تو با تام صحبت کردی؟
Don't eat hard foods.	غذاهای سخت نخورید.
Draw a straight line.	یک خط راست بکش.
Everyone looks tired.	همه خسته به نظر می رسند.
Everyone, say cheese.	همه بگن هلووو
Go back to your seat.	به صندلی خود برگرد.
Have it your own way.	کاری که میخواهی را انجامش بده!
He asked for my help.	او از من کمک خواست.
He asked me for help.	او از من کمک خواست.
He has many troubles.	او مشکلات زیادی دارد.
He works as a busboy.	اون به عنوان یک کمک پیشخدمت کار می‌کنه.
He's eating an apple.	او سیب می خورد.
I abandoned my plans.	برنامه‌هایم را وِل کردم.
I am a stranger here.	من اینجا غریبه ام.
I awoke from a dream.	من از خواب بیدار شدم.
I can see the target.	هدف را میتونم ببینم.
I don't see Tom much.	تام را زیاد نمی بینم.
I forgot to call you.	من فراموش کردم که با شما تماس بگیرم.
I forgot to call you.	فراموش کردم با تو تماس بگیرم.
I lost consciousness.	من هوشیاری ام را از دست دادم.
I met Tom after work.	من بعد از کار، تام را دیدم.
I met Tom after work.	من پس از کار با تام ملاقات داشتم.
I showed her my room.	اتاق‌ام را به او نشان دادم.
I showed him my room.	اتاق‌ام را به او نشان دادم.
I think Tom will win.	فکر می کنم تام برنده خواهد شد.
I think you're right.	فکر می کنم حق با توست.
I want my money back.	می خواهم پولم به من برگردانده شود.
I was bored to death.	تا حد مرگ، خسته بودم.
I was busy yesterday.	من دیروز سرم خیلی شلوغ بود.
I'll call you a taxi.	من برایت به تاکسی تلفن خواهم کرد.
I'm allergic to dogs.	من به سگ ها حساسیت دارم.
I'm crazy about golf.	من عاشق گلف‌ام.
I'm very lonely here.	من اینجا خیلی تنها هستم.
I've decided to wait.	تصمیم‌ گرفته‌ام منتظر بمانم.
I've decided to wait.	قصد دارم صبر کنم.
It was sheer torture.	آن یک شکنجهٔ محض بود.
It's really annoying.	واقعاً آزاردهنده است.
It's really annoying.	واقعاً آزار‌دهنده است.
It's really horrible.	آن واقعاً ترسناک است.
Justice will prevail.	عدالت غالب خواهد شد.
My father grows rice.	پدرم برنج می کارد.
Nobody wants to work.	هیچ کس نمیخواهد کار کند.
Our marriage is over.	ازدواج ما به پایان رسیده است.
Perhaps you're right.	احتمالا حق با شماست.
Please give me a hug.	لطفاً مرا بغل کن.
Please give me a hug.	لطفاً من را در آغوش بگیر.
Please give me a hug.	لطفاً مرا بغل کنید.
Resistance is futile.	مقاومت بیهوده است.
She broke into tears.	او به گریه افتاد.
She lost her handbag.	او کیف‌دستی‌اش را گم کرد.
She was working hard.	او به‌شدت کار می‌کرد.
She's beating cancer.	او با سرطان مبارزه می کند.
That's a blatant lie.	این یک دروغ آشکار است.
That's my dictionary.	این لغت نامه ی من است.
There's no wind here.	اینجا بادی نیست.
This milk tastes odd.	مزه ی این شیر غیر عادی ست.
This plant is edible.	این گیاه خوراکی است.
This tastes like tea.	این مزّه‌ی چایی میده.
This tastes like tea.	این طعم چای دارد.
Tom didn't fall down.	تام پایین نَیُفتاد.
Tom didn't fall down.	تام سقوط نکرد.
Tom followed me home.	تام مرا تا خانه دنبال کرد.
Tom is a real cowboy.	تام یک کابوی واقعی است.
Tom isn't here today.	تام امروز اینجا نیست.
Tom isn't interested.	تام به این موضوع علاقه مند نیست.
Tom seems very happy.	تام خیلی خوشحال به نظر می‌رسد.
Tom won't let you go.	تام نمی گذارد شما بروید.
Water reflects light.	آب نور را منعکس می‌کند.
We have two children.	ما دو بچه داریم.
We want a new carpet.	ما یک فرش نو می خواهیم.
We'll meet on Sunday.	یکشنبه ملاقات خواهیم کرد.
What's Tom's address?	آدرس تام چیست؟
When can I swim here?	چه موقع می توانم شنا کنم؟
Where is the problem?	مشکل کجاست؟
Who wrote the letter?	چه کسی این نامه را نوشته است؟
Why would I help Tom?	چرا من باید بخواهم که به تام کمک کنم؟
You should work hard.	تو باید سخت کار کنی.
Your pulse is normal.	نبضت عادی است.
Above all, be patient.	بالاتر از هر چیز این است که صبور باشی.
Are you fond of music?	آیا شما دیوانهٔ موسیقی هستید؟
Can he play the piano?	آیا او می‌تواند پیانو بنوازد؟
Can he play the piano?	آیا او می‌تواند پیانو بزند؟
Can't we just go home?	نمیشه بریم خونه?
Come here and help me.	بیا اینجا و به من کمک کن.
Did you dye your hair?	آیا تو موهایت را رنگ می کنی؟
Does Tom dye his hair?	آیا تام موهایش را رنگ می کند؟
Europe is a continent.	اروپا یک قاره است.
Get down on the floor!	بخوابید روی زمین!
Go to the living room.	به اتاق نشیمن برو.
Happiness is a mirage.	خوشبختی یک سراب است.
He and I are brothers.	من و او برادریم.
He came into the room.	او وارد اتاق شد.
He is washing the car.	او ماشینش را دارد می شوید.
He lacks common sense.	او کمبود شعور دارد.
He must be over sixty.	قطعا عمرش بالای شصت سال است.
He was prone to anger.	او در معرض خشم بود.
He's gone into hiding.	او مخفی شده است.
How deep is this well?	این چاه چقدر عمیق است؟
How did you get stuck?	چجوری گیر کردی؟ (چجوری گیر افتادی؟)
I am talking with Tom.	مشغول صحبت با تام هستم.
I am talking with Tom.	دارم با تام حرف می زنم.
I bought it last week.	من این را هفته پیش خریدم.
I came here yesterday.	من دیروز آمدم اینجا.
I don't even know him.	من حتی او را نمی شناسم.
I don't see Tom often.	تام را چندان زیاد نمی بینم.
I learned a new trick.	من یک ترفند نو یاد گرفتم.
I think you did great.	فکر می کنم عالی کارتون را انجام دادید.
I want to go with you.	می خواهم با تو بیایم.
I want you to go home.	از شما می خواهم به خانه بروید.
I want you to see her.	می‌خواهم او را ببینی.
I was happy yesterday.	دیروز خوشحال بودم.
I went to the station.	من به ایستگاه رفتم.
I work even on Sunday.	من حتی روزهای یکشنبه هم کار می کنم.
I'll be back tomorrow.	فردا برخواهم گشت.
I'm going to the bank.	من دارم به بانک می روم.
I'm not afraid of Tom.	من از تام نمی ترسم.
I'm not one to gossip.	من کسی نیستم که خبرچینی کنم.
Is your watch correct?	آیا ساعتت درست است؟
Isn't that irritating?	آیا آزاردهنده نیست؟
It takes two to tango.	برای رقص تانگو دو نفر لازم است.
Leeches are parasites.	زالوها انگل هستند.
Like father, like son.	همانا پدر، همانا پسر.
May I eat this orange?	ممکن است به من این پرتغال را بدهی؟
Nobody understands me.	هیچکس مرا درک نمی‌کند.
She asked for my help.	او از من کمک خواست.
She is afraid of cats.	او نگران گربه ها است.
