Wow!	Carai!
Tom chickened out.	A en Tom li va agafar cangueli.
Tom doesn't drink.	Tom no beu.
Tom has a podcast.	En Tom té un podcast.
Tom hates himself.	En Tom s'odia a si mateix.
Tom hates himself.	En Tom s'odia.
Tom hates himself.	En Tom s'odia a ell mateix.
Tom is ridiculous.	En Tom és ridícul.
Tom lacks courage.	A en Tom li falta coratge.
We're watching TV.	Estem mirant la televisió.
Why is snow white?	Per què és blanca la neu?
You can trust him.	Pots confiar en ell.
You need to hurry.	T'has d'afanyar.
You weren't wrong.	No estaves equivocat.
You're a good boy.	Ets un bon noi.
You're ridiculous.	Ets ridícul.
You're ridiculous.	Ets ridícula.
All men are mortal.	Tots els homes son mortals.
Are you hungry now?	Tens fam, ara?
Are you hungry now?	Teniu fam, ara?
Are you hungry now?	Ara tens fam?
Come along with me.	Acompanya'm.
Do it by all means.	Fes-ho com sigui.
Do it by all means.	Fes-ho peti qui peti.
Everyone loves him.	Tots l'estimen.
Exercise every day.	Fes exercici cada dia.
He is a clever boy.	És un noi despert.
He lost his memory.	Va perdre la memòria.
I already said yes.	Ja he dit que sí.
I don't have a cat.	No tinc cap gat.
I don't want sugar.	No vull sucre.
I have lost my key.	He perdut la meva clau.
I made her a dress.	Li vaig fer un vestit.
I want to meet you.	Vull veure't.
I wrote a cookbook.	Vaig escriure un llibre de cuina.
I'm gaining weight.	Estic guanyant pes.
Is that real money?	Això són diners de veritat?
Is this book yours?	Aquest llibre és teu?
It was a nightmare.	Va ser un malson.
It was an easy win.	Va ser una victòria fàcil.
It's not difficult.	No és pas difícil.
It's very hot here.	Aquí fa molta calor.
It's very symbolic.	És molt simbòlic.
It's very symbolic.	És molt simbòlica.
Mary is a feminist.	La María és feminista.
My mother is angry.	La meva mare està empipada.
Shut up and listen!	Calla i escolta!
Shut up and listen.	Calla i escolta!
Stay out of my way.	Fora del meu camí!
That's pure racism.	Això és racisme pur!
This coat fits you.	Aquest abric et queda bé.
This is ridiculous!	Això és ridícul!
This is ridiculous.	Això és ridícul.
This isn't for you.	Això no és per a tu.
Tom is a silly man.	En tom és un ximplet.
We look ridiculous.	Ens veiem ridícules.
We look ridiculous.	Ens veiem ridículs.
We'll convince Tom.	Convencerem en Tom.
What's the problem?	Quin problema hi ha?
What's your secret?	Quin és el teu secret?
Who has a question?	Algú té alguna pregunta?
Are you a policeman?	Ets policia?
Europe is in crisis.	Europa està en crisi.
Everybody loves him.	Tots l'estimen.
Have a good weekend!	Bon cap de setmana!
He went to the shop.	Ell va anar a la tenda.
He'll return at six.	Tornarà a les sis.
He's the oldest son.	Ell és el fill gran.
I can see the light.	Puc veure la llum.
I come from Saitama.	Jo venc de Saitama.
I drank all my milk.	Vaig beure'm tota la meva llet.
I want to stay here.	Vull quedar-me aquí.
I'd like to go home.	Vull anar a casa.
I'll call him later.	Li cridaré més tard.
I've got a question.	Tinc una pregunta.
She has a white cat.	Ella té un gat blanc.
She raised her hand.	Ella va aixecar la mà.
She raised her hand.	Ella va alçar la mà.
She raised her hand.	Ella alçà la mà.
She raised her hand.	Va alçar la mà.
That bottle is full.	Aquella ampolla és plena.
The bicycle is mine.	La bicicleta és meva.
They were satisfied.	Estaven satisfets.
They were satisfied.	Estaven cofois.
Where are you going?	A on vas?
Who let you come in?	Qui t'ha deixat entrar?
Who let you come in?	Qui us ha deixat entrar?
Who let you come in?	Qui us ha deixat passar?
Who let you come in?	Qui t'ha deixat passar?
Your father is tall.	Ton pare és alt.
Are you afraid of me?	Que tens por de mi?
Are you following me?	M'estàs seguint?
Birds fly in the sky.	Els ocells volen pel cel.
Can he speak English?	Que parla anglès, ell?
Didn't you know that?	No ho sabies?
Do you live in Tokyo?	Vius a Tokyo?
Don't worry about me.	No et preocupis per mi.
Fish live in the sea.	Els peixos viuen al mar.
Good night, everyone!	Bona nit a tothom!
He is a good athlete.	Ell és un bon atleta.
He knows how to swim.	Ell sap nedar.
He looked very happy.	Ell semblava molt feliç.
I bought some stamps.	Vaig comprar alguns segells.
I called my attorney.	Vaig trucar la meva advocada.
I called my attorney.	Vaig trucar el meu advocat.
I dislike big cities.	No m'agraden les ciutats grans.
I don't want to work.	No vull treballar.
I have two daughters.	Tinc dues filles.
I waited over a week.	Vaig esperar més d'una setmana.
I'm an office worker.	Sóc un oficinista.
I'm glad you're here.	M'alegra que estigues ací.
I'm glad you're here.	M'alegra que estigueu ací.
Is that your bicycle?	Esta és la teua bicicleta?
It is free of charge.	És gratuït.
It's a piece of cake.	Això és bufar i fer ampolles.
It's really annoying.	És realment molest.
Many trees fell down.	Van caure molts arbres.
She sent me a letter.	Ella em va enviar una carta.
Sorry for being late.	Perdó pel retard.
That's a bright idea.	És una idea brillant.
The ground seems wet.	El sòl sembla mullat.
The photo was a hoax.	La foto era un bluf.
The photo was a hoax.	La foto era una enganyifa.
The photo was a hoax.	La foto era un frau.
The photo was a hoax.	La foto era falsa.
They got off the bus.	Ells van baixar de l'autobús.
Tom always says that.	Tom sempre diu això.
Tom doesn't watch TV.	En Tom no mira la tele.
Tom looks ridiculous.	En Tom es veu ridícul.
Tom ran out of money.	En Tom es va quedar sense calés.
We're not the police.	No som la policia.
We've all been there.	Tots hi hem estat, allà.
We've all been there.	Tots hem viscut això.
What if they said no?	Què si diuen que no?
Who wrote the letter?	Qui ha escrit la carta?
Who's coming with me?	Qui ve amb mi?
You can come with me.	Pots venir amb mi.
You have to help her.	Heu d'ajudar-la.
You're a good person.	Eres bona persona.
Your son is a genius.	El vostre fill és un geni.
Are you expecting Tom?	Esperes en Tomàs?
Brad Pitt is an actor.	El Brad Pitt és un actor.
Can you all come here?	Que podeu venir aquí?
Do you have two books?	Tens dos llibres?
Does he speak English?	Que parla anglès, ell?
Does he speak English?	Parla anglès?
Does he speak English?	Ell parla anglès?
Does your mother know?	Ho sap la teua mare?
Everything is perfect.	Tot està perfecte.
Have you ever done it?	Ho has fet mai?
Have you ever done it?	Ho has fet algun cop?
His house was on fire.	La seva casa està en flames.
I don't have time now.	Ara no tinc temps.
I have to go to sleep.	He d'anar a dormir.
I knew you were lying.	Sabia que menties.
I know these students.	conec aquests estudiants.
I went to the station.	Vaig anar a l'estació.
I'd like some aspirin.	Voldria una aspirina.
I'd like to go abroad.	M'agradaria anar a l'estranger.
Money opens all doors.	Els diners obren totes les portes.
Nobody understands me.	Ningú no m'entén.
She is a good swimmer.	És una bona nedadora.
Thanks for everything.	Mercès per tot.
The girl said nothing.	La nena no va dir res.
They don't seem happy.	No semblen feliços.
Those are empty words.	Són paraules buides.
Tom likes Indian food.	A en Tom li agrada el menjar indi.
Tom looked ridiculous.	En Tom es veia ridícul.
Tom was afraid to die.	En Tom temia la mort.
We have two daughters.	Tenim dues filles.
We have yellow apples.	Nosaltres tenim les pomes grogues.
What are you planning?	Què planeges?
What's inside the box?	Què hi ha a la caixa?
What's inside the box?	Què hi ha dins la caixa?
What's wrong with you?	Què et passa?
Who built the snowman?	Qui ha fet el ninot de neu?
You should eat slower.	Has de menjar més a poc a poc.
You should've stopped.	T'hauries d'haver aturat.
You're taller than me.	Ets més alt que jo.
Are you coming with us?	Vens amb nosaltres?
Are you falling for me?	T'estàs penjant de mi?
Can you guys come here?	Que podeu venir aquí?
Come whenever you like.	Vingui quan vulgui.
Come whenever you like.	Veniu quan vulgueu.
Come whenever you like.	Vine quan vulguis.
Do you like this music?	T'agrada aquesta música?
Does the bus stop here?	L'autobús para ací?
I didn't buy this book.	No vaig comprar aquest llibre.
I think Tom isn't home.	Crec que en Tom no està a casa.
I think he has done it.	Crec que ell ho ha fet.
I want to get a tattoo.	Em vull tatuar.
I'll find the solution.	Hi trobaré la solució.
I'm not angry with you.	No estic enfadada amb tu.
I'm pretty tired today.	Hui estic ben cansada.
I'm sorry to hear that.	Em sap greu escoltar això.
Is rainwater drinkable?	Es pot beure l'aigua de la pluja?
It's not too hot today.	Avui no fa gaire calor.
Rainy days make me sad.	Els dies de pluja em posen trist.
She gave him a present.	Ella li va donar un regal.
They have enough money.	Tenen prou diners.
They will not eat meat.	No menjaran carn.
Tom wants to be famous.	Tom vol ser famós.
We have to act quickly.	Hem d'actuar ràpid.
Who are you talking to?	Amb qui esteu parlant?
Are you falling for Tom?	T'estàs penjant d'en Tomàs?
Ask me something easier.	Pregunta'm una cosa més fàcil.
Do you have a cellphone?	Tens un mòbil?
He died three years ago.	Va morir fa tres anys.
He's better than us all.	Ell és millor que tots nosaltres.
I don't like big cities.	No m'agraden les ciutats grans.
I felt like I would die.	Sentia que em moriria.
I had a light breakfast.	Vaig esmorzar lleuger.
I hope that I can do it.	Espere poder-ho fer.
I listened to her story.	Vaig escoltar la història d'ella.
I remember what he said.	Recordo el que va dir.
I think Tom is reliable.	Em penso que en Tom és confiable.
I want to see the ocean.	Vull veure l'oceà.
I was warned about this.	Hom me'n va advertir.
I won't see him anymore.	No el veuré mai més.
I'd like to get married.	M'agradaria casar-me.
I'd like to go home now.	Vull anar a casa ara.
I'd like to go with Tom.	M'agradaria anar amb en Tom.
I'll start this evening.	Començaré aquest vespre.
I'll start this evening.	Començaré esta vesprada.
I'm not as brave as Tom.	No soc tan valent com en Tom.
I'm sure of his success.	Estic segur del seu èxit.
I've forgotten his name.	He oblidat el seu nom.
It's nice and cool here.	Aquí fa fresca i s'hi està bé.
Many sailors can't swim.	Molts mariners no saben nedar,
My father quit drinking.	El meu pare va aturar de beure.
My father quit drinking.	Mon pare va deixar de beure.
Racism is still with us.	El racisme encara hi és amb nosaltres.
She helped me willingly.	Ella em va ajudar de bon gust.
Tell me when he returns.	Avisa'm quan torni.
Tom is thirty years old.	Tom té trenta anys.
We'll never do it again.	No ho farem mai més.
We'll never do it again.	No ho tornarem a fer mai més.
What a beautiful sunset!	Quina posta de sol més bonica!
What a beautiful sunset.	Quina posta més maca!
What a beautiful sunset.	Quina posta de sol més bonica.
Where are our umbrellas?	On estan els nostres paraigües?
Who are they talking to?	Amb qui estan parlant?
Would you draw me a map?	Em faríes un mapa?
You will miss the train.	Perdràs el tren.
You're everything to me.	Tu ets tot per mi.
Are you coming in or not?	Entres o no?
Are you going to save us?	Que ens salvareu?
Are you looking for work?	Busques feina?
Can I ask some questions?	Puc fer unes preguntes?
Can your mom drive a car?	La teva mama sap conduir?
Can your mom drive a car?	Ta mare sap conduir?
Can your mom drive a car?	La teua mare sap conduir un cotxe?
Can your mom drive a car?	La vostra mare sap conduir?
Cats prefer fish to meat.	Els gats s'estimen més el peix que la carn.
Do you have a cell phone?	Tens un mòbil?
Do you have a smartphone?	Tens un mòbil?
Don't ever do that again.	No ho facis mai més.
Fire is always dangerous.	El foc sempre és perillós.
Gold's heavier than iron.	L'or és més pesat que el ferro.
He fell and hurt his leg.	Ell es va caure i es va fer mal a la cama.
He has never played golf.	Ell no ha jugat mai al golf.
He looks like his father.	Ell s'assembla al seu pare.
He speaks five languages.	Ell parla cinc idiomes.
I can't stand that noise.	No puc aguantar aquest soroll.
I didn't know what to do.	No sabia què fer.
I don't know her address.	No sé la seva adreça.
I don't love you anymore.	Ja no t'estimo.
I made my son a new suit.	He fet un vestit nou per a mon fill.
I only have eyes for you.	Aquí no veig ningú més que tu.
I recognized him at once.	El vaig reconèixer de seguida.
I'm talking on the phone.	Parlo per telèfon.
I'm talking on the phone.	Estic parlant per telèfon.
I've had a very hard day.	He tingut un dia molt dur.
It doesn't sound natural.	No sona natural.
My mother is always busy.	La meva mare sempre està ocupada.
Shall we go to the beach?	Anem a la platja?
She had a strange hat on.	Ella portava un barret estrany.
She sang better than him.	Ella va cantar millor que ell.
That happened a year ago.	Això va passar fa un any.
The room is rather small.	La cambra és força petita.
Tom doesn't quite buy it.	En Tom no s'ho creu gaire.
Tom is a history teacher.	En Tom és un professor d'història.
Tom might still be there.	En Tom encara podria ser allà.
Tom visited Mary's grave.	En Tom va visitar la tomba de la Mary.
Tom was discharged today.	Al Tom l'han donat d'alta avui.
Tom was discharged today.	Al Tom l'han acomiadat avui.
Tom was discharged today.	Al Tom l'han llicenciat avui.
Tom was told not to wait.	Al Tom li van dir que no s'esperés.
Turn down the TV, please.	Baixa el volum del televisor.
Turn the TV down, please.	Baixa el volum del televisor.
We must follow the rules.	Hem de seguir les regles.
We're not going anywhere.	No anem enlloc.
What's happening tonight?	Què està passant aquest nit?
What's happening tonight?	Què passa aquesta nit?
You are lost, aren't you?	T'has perdut, no és així?
You don't have to eat it.	Vostè no ha de menjar-ho.
Are you free this weekend?	Estàs lliure este cap de setmana?
Do you listen to podcasts?	Escoltes podcasts?
Dogs bark and birds tweet.	Els gossos borden i les aus piulen.
Don't leave the door open.	No deixeu la porta oberta.
Don't you have work today?	Avui no tens feina?
Gold is heavier than iron.	L'or és més pesat que el ferro.
I didn't suspect anything.	No vaig sospitar res.
I didn't suspect anything.	No sospitava res.
I have a coat, but no hat.	Tinc un abric, però cap barret.
I like listening to music.	M'agrada escoltar música.
I like to listen to music.	M'agrada escoltar música.
I made a careless mistake.	Vaig cometre una negligència.
I think we'll go with you.	Crec que hi anirem amb tu.
I think we'll go with you.	Crec que ens en anirem amb tu.
I want to talk to Tom now.	Vull parlar amb en Tom ara mateix.
I'm busy, so I can't help.	Estic ocupat, no puc ajudar-te.
I'm busy, so I can't help.	Estic ocupat, no puc ajudar-vos.
I'm locked out of my room.	Estic atrapat fora de la meva cambra.
I'm standing in the shade.	M'estic dret a l'ombra.
Is racism a serious issue?	El racisme és una qüestió seriosa?
Is racism a serious issue?	El racisme és un assumpte seriós?
It can wait until morning.	No puc esperar fins al matí.
It's always been that way.	Sempre ha sigut així.
My sister hit the jackpot.	A la meva germana li va tocar la grossa.
Please turn off the light.	Per favor, apaga el llum.
Racism is a serious issue.	El racisme és un problema seriós.
That'll put you in danger.	Això et posarà en perill.
Tom doesn't drive to work.	En Tom no condueix a la feina.
Tom told me the good news.	En Tom m'ha dit la bona nova.
Tom told me the good news.	En Tom m'ha comunicat la bona notícia.
Tom went to the cafeteria.	El Tom va anar a la cafeteria.
We have to obey the rules.	Hem de seguir les regles.
We may be late for school.	Potser farem tard a l'escola.
What a nice sounding word!	Què bé sona aquesta paraula!
Where will you be staying?	On t'estaràs?
Where will you be staying?	On t'allotjaràs?
Where will you be staying?	On et quedaràs?
Where will you be staying?	On us allotjareu?
Who buys this type of art?	Qui compra aquest tipus d'art?
You agree with Tom, right?	Estàs d'acord amb Tom, oi?
You agree with Tom, right?	Esteu d'acord amb Tom, veritat?
You don't have to do this.	No has de fer-ho.
You don't have to do this.	Això no ho has de fer.
You still have to do that.	Encara tens que fer allò.
Could you tell me the time?	Em podries dir l'hora?
Do they have any good news?	Tens bones notícies?
Do you come here every day?	Véns aquí cada dia?
Do you come here every day?	Veniu ací tots els dies?
Do you have a book to read?	Tens algun llibre per llegir?
Do you have a mobile phone?	Tens un mòbil?
Do you know his birthplace?	Saps on va néixer?
I can't solve that problem.	No puc solucionar aquell problema.
I don't have time to write.	No tinc temps per escriure.
I got along with everybody.	Em portava bé amb tothom.
I have to buy one tomorrow.	He de comprar-ne un demà.
I just want to be near you.	Només vull estar prop de tu.
I know he likes jazz music.	Sé que li agrada el jazz.
I ordered a pizza by phone.	Vaig demanar una pizza per telèfon.
I think he'll never return.	Crec que mai no tornarà.
I want to learn how to ski.	Vull aprendre a esquiar.
I'd like to get some sleep.	Voldria dormir una mica.
I'd like to get some sleep.	M'agradaria dormir una mica.
I'd like to give it to Tom.	M'agradaria donar-li-ho a en Tom.
I'd like to go to the mall.	M'agradaria anar al centre comercial.
I'd rather do it by myself.	Prefereixo fer-lo pel meu compte.
I'll show you a few photos.	T'ensenyo un parell de fotos.
I'm afraid I caught a cold.	Em sembla que he agafat un constipat.
It's all you can really do.	És tot el que pots fer.
It's always been like that.	Sempre ha sigut així.
Life became very difficult.	La vida es va tornar molt difícil.
She and I are the same age.	Ella i jo tenim la mateixa edat.
She's Tom's younger sister.	És la germana petita d'en Tom.
She's Tom's younger sister.	És la germana menuda de Tom.
The bird's wing was broken.	L'ala de l'ocell estava trencada.
The bird's wing was broken.	L'ocell tenia una ala trencada.
The bird's wing was broken.	El pardal tenia una ala trencada.
There were ten eggs in all.	Hi havia deu ous en total.
There's no reason to worry.	No hi ha cap motiu per preocupar-se.
Things are not that simple.	Les coses no són tan senzilles.
This lake's water is clean.	L'aigua d'aquest llac està neta.
This store sells old books.	Aquesta botiga ven llibres vells.
Tom always drives too fast.	En Tom sempre condueix massa ràpid.
Tom warned Mary about John.	En Tom advertí la Maria d'en Joan.
Tom works in a coffee shop.	En Tom treballa en una cafeteria.
We have to go by the rules.	Hem de seguir les regles.
We walked three kilometers.	Vam caminar tres quilòmetres.
What really happened to us?	Què ens va passar realment?
What really happened to us?	Què ens va passar en realitat?
What would you like to eat?	Què voldràs de menjar?
Which do you think is best?	Quin creus que és millor?
Which do you think is best?	Quina creus que és millor?
You're not a child anymore.	Ja no ets un nen.
Your opinion is irrelevant.	La teua opinió és irrellevant.
Are you asking me on a date?	M'estàs proposant una cita?
Aren't you ever coming back?	Que no tornaràs mai?
But why is it all so secret?	Però per què és tot tan secret?
Columbus discovered America.	Colón va descobrir Amèrica.
Come on, it's not that hard.	Vinga, que no és tan complicat.
Does Tom still have a fever?	En Tom encara té febre?
Don't you like Chinese food?	No t'agrada el menjar xinès?
France is in western Europe.	França és a l'Europa Occidental.
He plays baseball every day.	Juga al beisbol tots el dies.
He told me not to tell lies.	Em va dir que no expliqués mentides.
He wants a watch like yours.	Vol un rellotge com el teu.
He's the one who touched me.	Ell és el que em va tocar.
I didn't pay Tom to do that.	Jo no vaig pagar el Tom per fer allò.
I didn't pay Tom to do that.	No vaig pagar el Tom per fer-ho.
I don't know if he knows it.	No sé si ho sap.
I don't want to do it again.	No vull tornar-ho a fer.
I know everything about you.	Ho sé tot de tu.
I like pizza with pineapple.	M'agrada la pizza amb pinya.
I want to break up with you.	Vull tallar amb tu.
I work at a language school.	Treballo en una escola d'idiomes.
I'd like some sugar, please.	M'agradaria una mica de sucre, si us plau.
I'd like to get to know Tom.	M'agradaria conèixer en Tom més a fons.
I'd like to go out with you.	M'agradaria sortir amb tu.
I'd like to go out with you.	Voldria sortir amb tu.
I'll be back in ten minutes.	Tornaré en deu minuts.
I'm the one who has the key.	Jo sóc qui té la clau.
I've put on a little weight.	He guanyat una mica de pes.
Is it going to snow tonight?	Què nevarà avui al vespre?
Maybe Tom asked Mary to lie.	Potser el Tom li va demanar a la Mary que mentís.
My dog has a very long tail.	El meu gos té una cua molt llarga.
Racism today isn't so overt.	El racisme avui dia encara no ha acabat.
She saved a hundred dollars.	Ella es va estalviar cent dòlars.
Take off your socks, please.	Sisplau, lleva't els mitjons.
Take off your socks, please.	Lleva't els calcetins, per favor.
Take off your socks, please.	Lleveu-vos els calcetins, per favor.
The evidence was against me.	L'evidència estava en contra meua.
There's just too much to do.	Senzillament hi ha tant a fer.
They aren't my real parents.	Ells no són els meus vertaders pares.
They say that love is blind.	Es diu que l'amor és cec.
They work eight hours a day.	Treballen vuit hores al dia.
They're not my real parents.	Ells no són els meus vertaders pares.
This river's water is clean.	L'aigua d'aquest riu està neta.
We joined in the discussion.	Hem participat a la discussió.
We want a peaceful solution.	Volem una solució pacífica.
What are you doing tomorrow?	Què fas demà?
What is wrong with that guy?	Què li passa a aquet paio?
When did that happen to you?	Quan et va passar allò?
When did that happen to you?	Quan us va passar allò?
Where will we go afterwards?	On anirem després?
Who are you guys talking to?	Amb qui esteu parlant?
Why does racism still exist?	Per què encara existeix el racisme?
Do you know where she's gone?	Saps on ha anat ella?
Don't make me wait like this.	No em facis esperar així.
He decided to become a pilot.	Va decidir fer-se pilot.
He goes to the office by car.	Va al despatx amb cotxe.
He is the manager of a hotel.	És el director d'un hotel.
He lost all the money he had.	Va perdre tots els diners que tenia.
He plays the piano very well.	Ell toca el piano molt bé.
How long will this cold last?	Quant de temps durarà aquesta fred?
How much is this watch worth?	Quant val aquest rellotge?
I don't want to go to school.	No vull anar a l'escola.
I have something to tell you.	T'he de dir una cosa.
I have something to tell you.	Us he de dir una cosa.
I have something to tell you.	Tinc una cosa a dir-te.
I must have the wrong number.	Dec tenir el número equivocat.
I never get tired of talking.	No em canso mai de parlar.
I saw him tear up the letter.	El vaig veure estripar la carta.
I will get in touch with you.	Em posaré en contacte amb tu.
I'd like to get a head start.	M'agradaria tenir-hi avantatge inicial.
I'd like to get back to work.	M'agradaria tornar a la feina.
I've been really busy lately.	He estat molt ocupat recentment.
If you don't eat, you'll die.	Si no menges, et mors.
Japan is smaller than Canada.	El Japó és més petit que el Canadà.
Please don't open the window.	Si us plau, no obri la finestra.
She sent you her best wishes.	Ella t'envia els seus millors desitjos.
Some animals eat their young.	Alguns animals es mengen les seves cries.
That's exactly what happened.	Això és exactament el què va passar.
The girl didn't say anything.	La nena no va dir res.
The soldier gave water to me.	El soldat m'ha donat aigua.
This is a very common injury.	Aquesta lesió és molt comú.
Tom and Mary love each other.	En Tom i la Maria s'estimen l'un a l'altra.
Tom and Mary love each other.	En Tom i la Maria s'estimen l'una a l'altre.
Tom doesn't know the details.	Tom no coneix els detalls.
Tom knows time's running out.	El Tom sap que el temps s'acaba.
Tom only listens to podcasts.	En Tom només escolta podcasts.
Wait here till he comes back.	Espera aquí fins que ell torni.
We killed time playing cards.	Matàvem el temps jugant a les cartes.
We must control our passions.	Hem de controlar les nostres passions.
What you think is irrelevant.	El que penses és irellevant.
What's your favorite podcast?	Quin és el teu podcast preferit?
Why don't you stay for a bit?	Us quedeu una estona?
Do you have medical insurance?	Teniu assegurança mèdica?
Have a good time on your date.	Passi-ho bé a la seva cita.
Have a good time on your date.	Passa-t'ho bé en la teva cita.
Have a good time on your date.	Passeu-vos-ho bé en la vostra cita.
He comes here every five days.	Ve aquí cada cinc dies.
He left the book on the table.	Va deixar el llibre sobre la taula.
How many children do you have?	Quants fills tens?
I believe the choice is clear.	Crec que l'elecció està clara.
I didn't know you'd come back.	No sabia que tornaries.
I didn't know you'd come back.	No sabia que havies tornat.
I didn't know you'd come back.	No sabia que regressaries.
I didn't know you'd come back.	No sabia que havies regressat.
I have a son who's an athlete.	Tinc un fill atleta.
I sent a letter to my parents.	Vaig enviar una carta als meus pares.
I sent a letter to my parents.	Envií una carta als meus pares.
I still need to get a haircut.	Encara em fa falta tallar-me els cabells.
I study for 3 hours every day.	Jo estudio 3 hores cada dia.
